spec,decode_tps,mtp_x,accept_len,accept_rate,accepted,drafts,draft_tok,gen512_s
off,18.74,0.00,0.00,0.000,0,0,0,27.05
4,FAIL,,,,,,,
4e,14.27,0.76,3.63,0.658,424,161,644,36.04
