concurrency,req_s,out_tok_s,mean_ttft_ms,mean_tpot_ms,per_stream_decode_tok_s
1,0.19,24.81,1032.14,32.49,30.78
4,0.85,108.87,401.92,33.86,29.53
8,1.41,181.10,1003.17,36.60,27.32
16,2.52,322.53,1043.63,41.72,23.97
32,2.53,324.06,6718.99,43.70,22.88
