spec,caps,decode_tps,mtp_x_vs18.74,accept_len,accept_rate,gen512_s
5,"1,2,4,6,8",64.05,3.42,5.90,0.980,8.23
6,"1,2,4,7,8",28.67,1.53,3.00,0.333,18.07
