shape,M,K,N,path,ms,gbps,tops,pct_roof,relerr,src,wbytes
lm_head,1,5120,248320,bf16,4.267029050097335,595.9173865811849,0.595917386581185,102.56753641672718,0.0,synthetic,2542796800
lm_head,1,5120,248320,w4a16,1.2743431099806912,498.8446165096244,1.9953784660384977,85.8596586075085,0.002871318720281124,synthetic,635699200.0
lm_head,1,5120,248320,w4a8_full,1.2990723599796183,489.3485687048054,1.9573942748192217,84.2252269715672,0.008384015411138535,synthetic,635699200.0
lm_head,1,5120,248320,w4a8_op,1.2927801700425334,491.7303148137591,1.9669212592550365,84.63516606088797,0.00027553929248824716,synthetic,635699200.0
lm_head,1,5120,248320,w8a16,2.144671349960845,592.8173563857287,1.1856347127714573,102.03396839685519,0.006984282284975052,synthetic,1271398400
lm_head,1,5120,248320,w8a8_full,2.2180953400675207,573.1937563879907,1.1463875127759815,98.65641245920665,0.010514744557440281,synthetic,1271398400
lm_head,1,5120,248320,w8a8_fusedq,2.2154364601010457,573.8816810580122,1.1477633621160244,98.77481601686956,0.010514744557440281,synthetic,1271398400
lm_head,8,5120,248320,bf16,4.3001332599669695,591.3297673057536,4.73063813844603,101.77792896828807,0.0,synthetic,2542796800
lm_head,8,5120,248320,w4a16,1.3039344199933112,487.52390477065626,15.600764952661,83.91117121698042,0.0029024432878941298,synthetic,635699200.0
lm_head,8,5120,248320,w4a8_full,1.3390217203414068,474.7489830395861,15.191967457266756,81.71238950767403,0.009098720736801624,synthetic,635699200.0
lm_head,8,5120,248320,w4a8_op,1.3180044596083462,482.3194605797482,15.434222738551941,83.01539769014599,0.00027763686375692487,synthetic,635699200.0
lm_head,8,5120,248320,w8a16,2.1939539001323283,579.5009639552205,9.272015423283529,99.74199035373847,0.007098705042153597,synthetic,1271398400
lm_head,8,5120,248320,w8a8_full,2.2646048001479357,561.4217544345687,8.9827480709531,96.63025033297224,0.011168730445206165,synthetic,1271398400
lm_head,8,5120,248320,w8a8_fusedq,2.263958179973997,561.5821048490404,8.985313677584646,96.65784937160764,0.011168730445206165,synthetic,1271398400
