shape,M,K,N,path,ms,gbps,tops,pct_roof,relerr,src,wbytes
gdn_ba,1,5120,96,bf16,0.06348433991661295,15.48476366441281,0.01548476366441281,2.665191680621826,0.0,synthetic,983040
gdn_ba,1,5120,96,w4a16,0.03796639008214697,6.473093688081879,0.025892374752327516,1.1141297225614248,0.002931532682850957,synthetic,245760.0
gdn_ba,1,5120,96,w4a8_full,0.09532523981761187,2.5781209726848697,0.01031248389073948,0.44373854951546815,0.008695203810930252,synthetic,245760.0
gdn_ba,1,5120,96,w4a8_op,0.047309900110121816,5.194684398570953,0.020778737594283808,0.8940937002703878,0.0002767638361547142,synthetic,245760.0
gdn_ba,1,5120,96,w8a16,0.0361707599950023,13.588876763106805,0.027177753526213613,2.338877239777419,0.006363715976476669,synthetic,491520
gdn_ba,1,5120,96,w8a8_full,0.09575486998073757,5.133107069111744,0.010266214138223487,0.8834951926182003,0.011050201021134853,synthetic,491520
gdn_ba,1,5120,96,w8a8_fusedq,0.06195362017024309,7.933676815807476,0.015867353631614952,1.3655209665761576,0.011050201021134853,synthetic,491520
gdn_ba,8,5120,96,bf16,0.06337764032650739,15.510833078284366,0.12408666462627492,2.6696786709611646,0.0,synthetic,983040
gdn_ba,8,5120,96,w4a16,0.04000205954071134,6.143683670834058,0.19659787746668986,1.057432645582454,0.002688906854018569,synthetic,245760.0
gdn_ba,8,5120,96,w4a8_full,0.09742456022650003,2.5225671989551555,0.08072215036656497,0.43417679844322815,0.008493275381624699,synthetic,245760.0
gdn_ba,8,5120,96,w4a8_op,0.04730098007712513,5.195664013711423,0.16626124843876552,0.8942623087283,0.00026667318888939917,synthetic,245760.0
gdn_ba,8,5120,96,w8a16,0.035866000107489526,13.704343905841927,0.21926950249347082,2.3587511025545487,0.006599592510610819,synthetic,491520
gdn_ba,8,5120,96,w8a8_full,0.09134336025454104,5.381015091083915,0.08609624145734264,0.9261643874498993,0.010404973290860653,synthetic,491520
gdn_ba,8,5120,96,w8a8_fusedq,0.0631830602651462,7.779300305134765,0.12446880488215624,1.3389501385774123,0.010404973290860653,synthetic,491520
gdn_ba,256,5120,96,bf16,0.06152812420623377,15.977083856887718,4.0901334673632554,2.74992837467947,0.0,synthetic,983040
gdn_ba,256,5120,96,w4a16,0.04595762463092493,5.347534864424386,5.475875701170572,0.920401869952562,0.002904617227613926,synthetic,245760.0
gdn_ba,256,5120,96,w4a8_full,0.09397291554099259,2.6152216155600203,2.677986934333461,0.4501242023339105,0.009316985495388508,synthetic,245760.0
gdn_ba,256,5120,96,w4a8_op,0.04991474997950718,4.923594731034381,5.041761004579206,0.8474345492313909,0.0002778495545499027,synthetic,245760.0
gdn_ba,256,5120,96,w8a16,0.038285041227936745,12.838434653201729,6.573278542439285,2.2097133654391956,0.007017579395323992,synthetic,491520
gdn_ba,256,5120,96,w8a8_full,0.09458324954418156,5.196691828296744,2.6607062160879327,0.8944392131319696,0.011248938739299774,synthetic,491520
gdn_ba,256,5120,96,w8a8_fusedq,0.061983583388306826,7.929841631142691,4.060078915145057,1.3648608659453858,0.011248938739299774,synthetic,491520
gdn_ba_pad,1,5120,128,bf16,0.06157119001727551,21.28787830204745,0.021287878302047453,3.6640065924350167,0.0,synthetic,1310720
gdn_ba_pad,1,5120,128,w4a16,0.038949259906075895,8.412996826902056,0.033651987307608225,1.448020107900526,0.003504976164549589,synthetic,327680.0
gdn_ba_pad,1,5120,128,w4a8_full,0.09528076014248654,3.4390993471292064,0.013756397388516825,0.5919275984731852,0.009151427075266838,synthetic,327680.0
gdn_ba_pad,1,5120,128,w4a8_op,0.04715941991889849,6.948346704932362,0.02779338681972945,1.1959288648764823,0.00031135763856582344,synthetic,327680.0
gdn_ba_pad,1,5120,128,w8a16,0.035574520006775856,18.422174069395005,0.036844348138790006,3.170770063579175,0.00666581466794014,synthetic,655360
gdn_ba_pad,1,5120,128,w8a8_full,0.09061496006324887,7.232359861358008,0.014464719722716015,1.244812368564201,0.011591685004532337,synthetic,655360
gdn_ba_pad,1,5120,128,w8a8_fusedq,0.05956116016022861,11.00314362979132,0.02200628725958264,1.893828507709349,0.011591685004532337,synthetic,655360
gdn_ba_pad,8,5120,128,bf16,0.06204370001796632,21.125754905340074,0.1690060392427206,3.6361023933459675,0.0,synthetic,1310720
gdn_ba_pad,8,5120,128,w4a16,0.039553819806315005,8.284408474442307,0.2651010711821538,1.4258878613497947,0.0028847751673310995,synthetic,327680.0
gdn_ba_pad,8,5120,128,w4a8_full,0.09270936017856002,3.5344866944274234,0.11310357422167755,0.6083453863042038,0.009132985956966877,synthetic,327680.0
gdn_ba_pad,8,5120,128,w4a8_op,0.047334039700217545,6.922713592064148,0.22152683494605274,1.1915169693742078,0.0002700949553400278,synthetic,327680.0
gdn_ba_pad,8,5120,128,w8a16,0.03742314002010971,17.51215957954986,0.28019455327279774,3.0141410636058277,0.007142413407564163,synthetic,655360
gdn_ba_pad,8,5120,128,w8a8_full,0.09244066022802144,7.089520979008991,0.11343233566414385,1.220227362996384,0.01120490487664938,synthetic,655360
gdn_ba_pad,8,5120,128,w8a8_fusedq,0.06049091985914856,10.834022718219325,0.1733443634915092,1.8647199170773365,0.01120490487664938,synthetic,655360
gdn_ba_pad,256,5120,128,bf16,0.06071033324891081,21.589734891193594,5.526972132145559,3.7159612549386565,0.0,synthetic,1310720
gdn_ba_pad,256,5120,128,w4a16,0.03826799972254472,8.562767909892996,8.768274339730429,1.4737982633206532,0.0028797208797186613,synthetic,327680.0
gdn_ba_pad,256,5120,128,w4a8_full,0.10400995840124476,3.1504675613453417,3.22607878281763,0.5422491499733807,0.009271479211747646,synthetic,327680.0
gdn_ba_pad,256,5120,128,w4a8_op,0.05109991737602589,6.412534830315299,6.5664356662428665,1.1037065112418758,0.00027900750865228474,synthetic,327680.0
gdn_ba_pad,256,5120,128,w8a16,0.038563083459545545,16.994491653850837,8.701179726771628,2.9250415927454108,0.007064899895340204,synthetic,655360
gdn_ba_pad,256,5120,128,w8a8_full,0.0957417081129582,6.845083641361315,3.504682824376993,1.1781555320759578,0.011253404431045055,synthetic,655360
gdn_ba_pad,256,5120,128,w8a8_fusedq,0.06316125048518491,10.37598202957874,5.312502799144315,1.7858833097381652,0.011253404431045055,synthetic,655360
